SNWMSS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
349,4B14,Equity Mine,1420,Active,54.18936,-126.25,,1147573,983725.1602000005,1020773.9213999975
350,4B15,Lu Lake,1300,Active,54.20231,-126.2958,,1147574,980749.6649999993,1022230.7985999994
351,4C01,Sikanni Lake,1385,Inactive,57.263858,-124.132525,,1147575,1112507.2961000006,1365345.344399999
352,4C02,Summit Lake,1280,Active,58.64817,-124.7214,,1147576,1074248.3768000007,1518818.7956999969
353,4C03,Dease Lake,820,Active,58.42864,-130.0132,,1147577,765679.9705999994,1500340.4364999924
354,4C04,Cassiar,1390,Inactive,59.308135,-129.835113,,1147578,781369.3875999994,1597533.539299999
355,4C05,Fort Nelson Airport,380,Active,58.84067,-122.5719,,1147579,1197965.414100001,1544377.3030000022
356,4C06,Mount Roosevelt,1330,Inactive,58.37107,-125.343078,,1147580,1038435.4350000008,1487461.8428000002
357,4C07,Grayling River,1250,Inactive,59.652542,-125.522591,,1147581,1026970.7291000002,1630006.6798000024
358,4C08,Trout River,1400,Inactive,59.02602,-125.958229,,1147582,1002400.9538000008,1560216.9486000002
359,4C09,Deadwood River,1300,Inactive,59.259056,-128.330108,,1147583,866945.4190999994,1588339.4298999934
360,4C10,Rabbit River,1250,Inactive,59.195411,-127.193412,,1147584,931724.9449999998,1579643.2523000133
361,4C11,Bluff Creek,1040,Inactive,58.534881,-126.437248,,1147585,974529.8330000007,1505609.5753999972
362,4C12,Toad River,1400,Inactive,58.78947,-125.370361,,1147586,1036424.7367000004,1534044.5539999898
363,4C13,Kluachesi Lake,1220,Inactive,57.98748,-123.925491,,1147587,1122612.8955999997,1446336.8693
364,4C14,Frog River,1480,Inactive,57.982551,-127.493339,,1147588,911719.213899999,1444922.0046999953
365,4C15,Jade City,940,Inactive,59.23722,-129.660827,,1147589,790888.110799998,1589127.9545999933
366,4D01,Telegraph Creek,580,Inactive,57.94889,-131.135559,,1147590,696376.1686999998,1451257.0616000034
367,4D02,Iskut,1000,Active,57.85272,-129.9922,,1147591,763287.5398999996,1436195.9149000011
368,4D03,Red Chris Mine Lower,1263,Inactive,57.755701,-129.751262,,1147592,776987.0216000013,1424614.5565999998
369,4D04,Red Chris Mine Upper,1469,Inactive,57.764308,-129.746365,,1147593,777328.6309999996,1425557.3029999947
370,4D05,Tahltan Lake,1220,Inactive,57.880477,-131.590576,,1147594,668926.8059000003,1445693.199
371,4D06,Triumph Creek,1220,Inactive,57.607868,-132.29692,,1147595,624501.6763999985,1418934.084499997
372,4D07,Schaft Creek,1140,Inactive,57.362449,-130.988311,,1147596,700463.7849000014,1385414.3146000048
373,4D08,Forrest Kerr Creek,560,Inactive,56.947582,-130.792739,,1147597,709058.706800001,1338435.7049000002
374,4D09,Snippaker Creek,620,Inactive,56.558334,-130.72792,,1147598,710089.4184000012,1294840.372700001
375,4D10,Tumeka Creek,1220,Inactive,57.240566,-129.705459,,1147599,776702.2559999991,1367108.9460000005
376,4D11,Kinaskan Lake,1020,Inactive,57.579727,-130.265594,,1147600,745263.2485000013,1406762.1264999993
377,4D12,Eaglenest Creek,1540,Inactive,57.612472,-129.013763,,1147601,820122.0900999993,1406565.6129999952
378,4D13,Upper Stikine,1450,Inactive,57.357646,-128.164855,,1147602,869901.8661,1376310.3722000103
379,4D14,Wade Lake,1370,Inactive,58.1875,-128.913299,,1147603,828751.8317000009,1470354.9080999964
380,4D15,Boundary,470,Inactive,56.690967,-131.836318,,1147604,643481.7976999992,1314659.0621000025
381,4E01,Log Cabin,900,Active,59.7625,-134.965835,,1147605,496377.7565000007,1674075.368499999
382,4E02,Atlin Lake,730,Inactive,59.681076,-133.763061,,1147606,562656.2283999992,1657092.0262000002
383,4E02A,Atlin Lake,710,Inactive,59.593055,-133.728607,,1147607,563523.1253999998,1647150.690700001
384,4E02B,Atlin Lake,730,Active,59.58866,-133.71024,,1147608,564503.1767,1646551.7474999987
385,4E03,Stanley Creek,930,Inactive,59.89627,-136.898406,,1147609,390884.9470999999,1703988.9524999997
